path,split,n_notes,keep_rate,collision_rate,wrap_rate,onset_mae_ms,onset_max_ms,velocity_exact_rate,residual_sigma_ms
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_846/Shi05M.mid,all,754,0.9880636604774535,0.011936339522546418,0.005305039787798408,5.143092996019418e-07,7.594593398607685e-06,1.0,48.60971778329323
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Denisova06M.mid,all,1435,0.9993031358885017,0.0006968641114982578,0.0006968641114982578,2.213948380289318e-07,2.789704467431875e-06,1.0,13.803848445488898
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Lee01M.mid,all,1438,0.9993045897079277,0.0006954102920723226,0.0006954102920723226,2.3977755698629027e-07,2.7875444175151642e-06,1.0,15.494025542276805
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/LeeSH01M.mid,all,1429,0.9986004198740378,0.0013995801259622112,0.0006997900629811056,2.4823741488433595e-07,5.956025006526033e-06,1.0,19.323449651314988
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Lin04M.mid,all,1431,1.0,0.0,0.0020964360587002098,2.1010295658569944e-07,3.285592242718849e-06,1.0,14.48781955542395
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Lou01M.mid,all,1433,0.9986043265875785,0.0013956734124214933,0.0013956734124214933,2.581305426774828e-07,3.3217446571143228e-06,1.0,17.379829268612937
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/MiyashitaM01M.mid,all,1438,0.9993045897079277,0.0006954102920723226,0.0006954102920723226,2.1336987136897691e-07,7.245148481160868e-06,1.0,20.192658470447316
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Mizumoto03M.mid,all,1440,1.0,0.0,0.0006944444444444445,2.6309898734974223e-07,4.316149215810583e-06,1.0,17.894159100023835
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/SunY01M.mid,all,1431,0.9986023759608665,0.001397624039133473,0.0006988120195667365,1.6833072035544453e-07,3.85198006824794e-06,1.0,13.101609268434988
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_848/Zhou01M.mid,all,1430,0.9993006993006993,0.0006993006993006993,0.0006993006993006993,2.0629046043747545e-07,3.7044856071588583e-06,1.0,16.04858662481508
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_854/LuA01M.mid,all,739,0.9986468200270636,0.0013531799729364006,0.0013531799729364006,2.2896087920227834e-07,3.5987710589324706e-06,1.0,15.99635327474203
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_854/MiyashitaM01M.mid,all,738,1.0,0.0,0.0013550135501355014,1.5610534544500391e-07,3.9736534063194995e-06,1.0,12.03632751435687
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_854/Ozaki01M.mid,all,734,1.0,0.0,0.0013623978201634877,2.0217257760288586e-07,2.0034107706123905e-06,1.0,13.486901022914235
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_854/Richardson01M.mid,all,738,1.0,0.0,0.0013550135501355014,2.4830948544126363e-07,4.340577675066015e-06,1.0,16.570928724672946
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_854/WangA01M.mid,all,736,0.9972826086956522,0.002717391304347826,0.002717391304347826,1.6579547510236167e-07,3.5089655625597516e-06,1.0,13.381888767991992
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_856/LuoJ01M.mid,all,740,1.0,0.0,0.0,2.0712133659824258e-07,4.0010945667745546e-06,1.0,14.59607457913869
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_857/Bult-ItoS02M.mid,all,1400,0.9864285714285714,0.013571428571428571,0.0007142857142857143,5.080871807019792e-07,7.002370239206357e-06,1.0,32.39490426194066
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_857/Lan01M.mid,all,1353,0.9933481152993349,0.0066518847006651885,0.0,2.414435815630463e-07,1.2117595815652749e-05,1.0,26.055606563167615
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_857/Lisiecki04M.mid,all,1345,0.995539033457249,0.0044609665427509295,0.0,3.576344765100783e-07,9.107623100135243e-06,1.0,28.899335740543542
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_857/ToA01M.mid,all,1361,0.9933872152828802,0.006612784717119765,0.0,3.644258354979308e-07,1.16969829377922e-05,1.0,29.76857150722845
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_857/WangA01M.mid,all,1340,0.9970149253731343,0.0029850746268656717,0.0,3.882447439056493e-07,6.420634690584848e-06,1.0,26.835157372790817
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_857/YuP01M.mid,all,1358,0.9889543446244478,0.011045655375552283,0.0,4.161396811653903e-07,1.1155492529724143e-05,1.0,35.049110002407645
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_858/VuV01M.mid,all,875,0.9931428571428571,0.006857142857142857,0.001142857142857143,2.8060157423432717e-07,4.626969030141481e-06,1.0,22.189433341893206
/Workspace/Users/Hadi.Mohebalizadeh@nike.com/Diffusion II/Dual_Diffusion_II/data/asap-dataset-master/Bach/Fugue/bwv_858/Zhang01M.mid,all,888,0.990990990990991,0.009009009009009009,0.0011261261261261261,2.6189418880296396e-07,3.861202912958106e-06,1.0,22.149957198215112
